Unnamed: 0,Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Scorer-p,GCA1-p,GCA2-p
22,23,2024-01-13,La Liga,Matchweek 20,Home,Juan Herzog,Villarreal,Y,0.19,0.27,Head,6.0,51,1-0,Filip Jørgensen,Sandro Ramírez,Sandro Ramírez,Pass (Dead),Sandro Ramírez,Pass (Live),Deflected,CB,ST,ST
23,24,2024-01-13,La Liga,Matchweek 20,Home,Kirian Rodríguez,Villarreal,Y*,0.19,0.81,Right Foot,13.0,63,2-0,Filip Jørgensen,Javier Muñoz,Javier Muñoz,Pass (Live),Marvin,Pass (Live),,MF,MF,RW
25,26,2024-01-20,La Liga,Matchweek 21,Away,Javier Muñoz,Rayo Vallecano,Y,0.29,0.84,Right Foot,10.0,83,1-0,Stole Dimitrievski,Sergi Cardona,Sergi Cardona,Pass (Live),Benito Ramírez,Shot,Volley,MF,LB,LW
26,27,2024-01-27,La Liga,Matchweek 22,Home,Javier Muñoz,Real Madrid,Y,0.37,0.95,Right Foot,9.0,53,0-0,Andriy Lunin,Sandro Ramírez,Sandro Ramírez,Pass (Live),Kirian Rodríguez,Pass (Live),Deflected,MF,ST,MF
27,28,2024-02-03,La Liga,Matchweek 23,Away,Francisco Jesús Crespo García,Granada,N,0.16,0.73,Head,8.0,68,0-1,Augusto Batalla,Sergi Cardona,Sergi Cardona,Pass (Live),Cristian Herrera,Pass (Live),,CAM,LB,ST
28,29,2024-02-10,La Liga,Matchweek 24,Home,Álex Suárez,Valencia,Y,0.08,0.45,Head,9.0,89,0-0,Giorgi Mamardashvili,Marc Cardona,Marc Cardona,Pass (Live),Enzo Loiodice,Pass (Dead),,CB,ST,MF
29,30,2024-02-10,La Liga,Matchweek 24,Home,Marc Cardona,Valencia,N,0.97,0.97,Left Foot,2.0,90+5,1-0,Giorgi Mamardashvili,,Kirian Rodríguez,Pass (Live),Fabio González,Pass (Live),,ST,MF,MF
30,31,2024-02-25,La Liga,Matchweek 26,Home,Kirian Rodríguez,Osasuna,Y*,0.11,0.74,Right Foot,16.0,52,0-1,Sergio Herrera,,Alberto Moleiro,Pass (Live),Sergi Cardona,Pass (Live),Volley,MF,CAM,LB
31,32,2024-03-02,La Liga,Matchweek 27,Away,Sandro Ramírez,Getafe,Y,0.03,0.39,Right Foot,26.0,35,0-2,David Soria,Kirian Rodríguez,Kirian Rodríguez,Pass (Live),Sergi Cardona,Pass (Live),,ST,MF,LB
32,33,2024-03-02,La Liga,Matchweek 27,Away,Sergi Cardona,Getafe,Y,0.85,0.59,Left Foot,4.0,50,1-3,David Soria,Mika Màrmol,Mika Màrmol,Pass (Live),Kirian Rodríguez,Pass (Live),,LB,CB,MF
33,34,2024-03-02,La Liga,Matchweek 27,Away,Munir El Haddadi,Getafe,Y,0.33,0.67,Left Foot,4.0,57,2-3,David Soria,Javier Muñoz,Javier Muñoz,Pass (Live),Kirian Rodríguez,Pass (Live),,RW,MF,MF
0,1,2023-08-12,La Liga,Matchweek 1,Away,Antonio Raillo,Las Palmas,N,0.07,0.22,Head,10.0,70,0-1,Álvaro Vallés,Sergi Darder,Sergi Darder,Pass (Dead),,,,CB,MF,
1,2,2023-08-26,La Liga,Matchweek 3,Away,Abdón Prats,Granada,Y,0.58,0.54,Left Foot,12.0,38,0-1,Raúl Fernández,Toni Lato,Toni Lato,Pass (Live),Sergi Darder,Pass (Live),,ST,LB,MF
